id,source_title,source_type,source_author,source_year,chunk_index,content_chunk,tags
1,1-s2.0-S0021755724001633-main,research_paper,,,1,"EDITORIAL Childhood health on a planet threatened by climate change Dirceu Sol C19ea, , Paulo Augusto Moreira Camargosb aUniversidade Federal de S ao Paulo, Escola Paulista de Medicina, Departamento de Pediatria, Disciplina de Alergia, Imunologia Clínica e Reumatologia, S ao Paulo, S ao Paulo, Brazil bUniversidade Federal de Minas Gerais, Faculdade de Medicina, Programa de P C19os-gradua c ao em Sa C19ude da Crian ca e do Adolescente, Belo Horizonte, Minas Gerais, Brazil The last decade, especially the year 2024, has imposed many challenges on the planet and human beings that used to be rare, such as heat waves, and ﬂoods in different parts of North America, South America, Europe, Asia, Africa, andOceania, 1forest ﬁres, most of them anthropogenic, often in the same countries as those mentioned above and capable of devastating signi ﬁcant areas of vegetation and further compromising biodiversity, food production and life. 2,3 Added to this is the burning of fossil fuels, which leads to the worsening of air pollution with its well-known health conse- quences, especially among the most vulnerable age groups,namely children, the elderly, and the underprivileged. These changes were signi ﬁcant enough that The Lancet Countdown 2024 report indicates that the world is danger-ously close to violating the target of limiting the multi- annual global average warming of the Earth s surface to 1. By 2023, the average increase was1. 45 C above the pre-industrial baseline, and new highswere recorded throughout 2024. Climate extremes take lives and livelihoods. The Lancet Countdown, drawing on the expertise of 122 leadingresearchers from United Nations agencies and academic institutions, reveals the ﬁndings of the most concern from the collaboration s eight years of monitoring. Heat-related mortality among people over 65 years has increased by 102 , above the 65 that would have been expected without the temperature rise, as well as impair-ments in physical activity and sleep quality, and conse- quently in physical and mental health. In 2023, exposure toexcessive heat put people engaged in outdoor physical activ- ity at risk of heat stress for 27. 7 more hours than the aver- age in the 1990s and 6 more hours of sleep lost in 2023 than the average between 1986 and 2005. Since 1961, there has been an increase in the number of days of extreme rainfall across 61 of the global land area, which has increased the risk of ﬂooding, the spread of infec- tious diseases, and water contamination. In parallel, 48 ofthe same area was affected by at least one month of extreme drought in 2023, the second-highest rate since 1951. The increase in drought events and heatwaves meansthat more than 151 million people will be suffering from moderate or severe food insecurity in 124 countries assessed in 2022, the highest number on record, in addition toincreasing exposure to dust storms.","paulo, heat, health, most, above, average"
2,1-s2.0-S0021755724001633-main,research_paper,,,2,"Weather extremes and their health impacts also affect labor productivity, with heat exposure accounting for a recordloss of 512 billion potential working hours in 2023, at an esti-mated cost in lost income equivalent to US 835 billion. Coun- tries with low and medium Human Development Indexes were the most affected by these losses, which amounted to 7. 4 of their Gross Domestic Product, respectively. Changes in rainfall patterns and rising temperatures favor the transmission of lethal infectious diseases, such as den-gue, malaria, diseases related to the West Nile virus and vib- riosis, putting populations at risk of transmission in previously unaffected areas. Dependence on fossil fuels is increasingly threatening national economies. Replacing coal-based energy with clean energy will entail an additional cumulative cost of US 164. 5billion between 2025 and 2034, which reinforces the delayin the adoption of clean and renewable energy by the Corresponding author. 0021-7557 2024 Sociedade Brasileira de Pediatria. Published by Elsevier Editora Ltda. This is an open access article under the CC BY license. Jornal de Pediatria 2025; 101 S1 : S1 C0S2 www. br majority of disadvantaged countries, which remain exposed to the damage caused by the lack of this type of energy. Governments, companies, and t ransnational corporations have clearly and rapidl y aggravated environmental risks. Fueled by record pro ﬁts, oil and gas giants have expanded their pro- duction plans and, as of March 2024, were on track to exceed their emissions compatible with a 1. 5 C increase in average temperature by 189 by 2040, 16 higher than in 2023. Moreover , as energy prices have soared and countries energy systems remain dependent on fossil fuels in 2022, gov- ernments have allocated a record 1. 4 trillion in subsidies tothem, dwar ﬁng any commitments to support climate actions agreed at the 28th Conference of the Parties COP28. The immediate engagement of citizens, companies, sci- entists, and international organizations concerned with cli-mate and health is urgent and indispensable, as it helps to nurture hope that a healthy and prosperous future may still be within humanity s reach. Echoing this panorama and with the collaboration of renowned scholars, this Supplement of Jornal de Pediatria is dedicated to the analysis of these topics. The articles by Bustamante6and Chong-Neto and Ros C19ario7 discuss the effects of air pollution and climate change on the health of Brazilian children and adolescents. While Veras andSaldiva 8discuss this phenomenon in maternal, fetal, and postnatal health, Sol C19e and Urrutia9analyze respiratory health in childhood in this context and Silva et al. 10warn of these consequences in pediatric oncology. Neurological impairmentis brought up in the texts by Nunes and da Cunha 11and Lopes. 12In addition to climate change and its consequences on biodiversity, pesticides are also part of the discussion inthe article by Rodrigues et al. , 13microplastics in the article by Urrutia et al. ,14heat waves in the article by de Paula Corr ea15and forest ﬁres in the article by Rizzo and Rizzo.","energy, health, article, their, which, pediatria"
3,1-s2.0-S0021755724001633-main,research_paper,,,3,"16 The indisputable evidence is: there is no room for climate denial. However , to avoid a catastrophic increase in the number of deaths, diseases and destruction of forests,urgent and decisive measures are mandatory. Be aware and responsible. Sick earth, sick children. Conﬂicts of interest The authors declare no con ﬂicts of interest. Accessed November 1, 2024. Available from: https: ﬂoodlist. GWIS Statistics Portal; 2024, Accessed November 1. statistics seasonaltrend. Samborska V , Ritchie H. Wild ﬁres - Explore global and country- level data on the extent of wild ﬁres and how they ve changed over time. Available from: ﬁres 4. World Health Organization. Health consequences of air pollu- tion on populations. Avail- able from: are-health-consequences-of-air-pollution-on-populations 5. Romanello M, Walawender M, Hsu SC, Moskeland A, Palmeiro-Silva Y , Scamman D, et al. The 2024 report of the Lancet C o u n t d o w no nh e a l t ha n dc l i m a t ec h a n g e :f a c i n gr e c o r d - breaking threats from delayed action. Climate change and children s health: resil- ience challenges for Brazil. Chong-Neto HJ, Ros C19ario Filho NA. How does air quality affect the health of children and adolescen ts. E p u b ahead of print. Impact of air pollution and climate change on maternal, fetal and postnatal health. Urrutia-Pereira M, Sol C19e D. Impact of climate change and air pol- lution on childhood respiratory health. Silva DB, Pianovski MA, Carvalho Filho NP. Environmental pollu- tion and cancer. Nunes ML, da Cunha AJLA. Neurodevelopment and climatechange. Climate change and its impact on children and ado-lescents sleep. Rodrigues MB, da Silva CAM, Chong-Silva DC, Chong Neto HJ. Pesticides and human health. Urrutia-Pereira M, Camargos PA, Sol C19e D. Microplastics: the hid- den danger. Heatwaves, biodiversity and health in times of climate change. Wild ﬁre smoke and health impacts: a narra- tive review.","health, climate, change, children, silva, wild"
4,1-s2.0-S0266613824003620-main,research_paper,,,1,"Commentary The pregnant pause: Engaging and involving public contributors in maternal health research Joanne Racka, , Vanora Hundleya , Edwin van Teijlingena , Ann Luceb aFaculty of Health Social Sciences, Centre for Midwifery, Maternal Perinatal Health, Bournemouth University, Bournemouth Gateway Building, St. Paul s Lane, Bournemouth, BH8 8GP bProfessor of Journalism and Health Communication, Deputy Dean, Faculty of Media and Communication, Weymouth House W424, Talbot Campus, Fern Barrow, Poole, BH12 5BB Introduction PPI, or Patient Public Involvement, is a term used in healthcare as early as the 1970s Ocloo et al. , 2021 to describe research being con- ducted with or by members of the public. The term has gained signifi - cant popularity in healthcare research in recent decades and represents a shift in the way research is conceived, designed and executed. This contrasts with research previously done to, on or for members of the public and signals a critical change in the approach used especially in maternal health research where the involvement of a diverse range of people can change and enhance the quality, relevance and applications of research findings. The public contributors of PPI groups can include an extensive range of people, including patients, family members or carers, people from allied organisations, service users, and members of the general public who have an interest in research for other reasons. Participants bring their unique perspectives and experiences that can help to shape and inform the research process. This type of involvement ensures that maternal health research is grounded in the needs and preferences of those it aims to serve and grows a sense of ownership and investment amongst those who use the services but also those who provide them. PPI is an essential element for all maternal health endeavours. In 2019, the National Institute for Health and Care Research NIHR issued a UK standard focusing on what good public involvement looks like. This framework supports six principles: inclusive opportunities, working together, support and learning, communications, impact, and governance National Institute of Health Research 2024a. These prin- ciples have been adopted widely in the UK and beyond. Resulting in guidelines and the ongoing development of resources for including PPI in research. These invaluable resources support and enable researchers to engage in this essential domain VOICE 2024 ; Royal College of Ob- stetricians and Gynaecologists 2024. Despite these advances, critical examination of published research about the process of PPI show a gap in transparency related to the contributions of PPI members and also reveals that the quality of reporting on PPI practices varies greatly Fergusson et al. A 2014 scoping review found that there was limited evidence about the extent of PPI reported in the studies related to maternal health research Pandey et al. To support researchers, the NIHR has produced an info- graphic that illustrates how PPI involvement should be woven throughout the research cycle Hoskins 2024.","research, health, public, maternal, involvement, members"
5,1-s2.0-S0266613824003620-main,research_paper,,,2,"By encouraging trans - parency and consistency in PPI practices, an understanding of the evi- dence can be strengthened, making it more compelling and easier to implement findings into clinical practice, ultimately improving maternal health outcomes. Collaborative approaches to women s health research PPI offers rich lived experience perspectives that aids design and mitigates biases inherent in research. It is responsive to the needs of women and aligns with the Women s Health Strategy for England which emphasises accessibility and diversity research participation Atkins, Victoria 2024. The collaborative nature of the relationship empowers contributors to become invested and share and develop skills and expertise at various points across the research cycle. This echoes grass roots women s health movements and second wave feminism which Acknowledgements: Dr Latha Vinayakarao MRCOG,MRCPI, PGCME, Consultant Obstetrician with a special interest in Maternal and Fetal Medicine, University Hospital Dorset NHS Foundation Trust, Poole Hospital, Longfleet Road, Poole, Dorset, BH15 2JB. Corresponding authors E-mail addresses: J. van Teijlingen , aluce bournemouth. Luce Contents lists available at ScienceDirect Midwifery u zkw. ÐÐÐ1ow o t o 1m y2w m k o2ytnÐ Received 10 November 2024; Received in revised form 25 December 2024; Accepted 30 December 2024 Midwifery 142 2025 104279 Available online 6 January 2025 0266-6138 2025 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license. speaks to the underrepresentation of women in health research, pro- moting equity, diversity and inclusion EDI Nichols 2000 ; IGNITE 2024. The ethical imperative of including public contributors in maternal health research can also be considered a human right Stuttaford et al. As midwifery researchers and clinicians, we are responsible for ensuring that women and birthing people are involved in designing, exploring, discovering, and in knowledge mobilization of health and social care research Hoskins 2024 ; Green 2016. Unfortunately, this level of involvement has not yet been realized within the midwifery and maternal health research community. To date, only modest acknowl - edgments of the significance and contribution of PPI have been made, suggesting a need for more robust frameworks Perry and Mullins 2023. Midwives are evidence-based practitioners, a principle built into our philosophies, models of care, and codes of practice International Confederation of Midwives 2024. This philosophy emphasizes the need for integrating PPI into maternal health research to enrich the devel - opment of healthcare practices that go beyond patient satisfaction and provide key insights that can inform policy decisions and highlighting healthcare disparities ultimately resulting in the improvement of health outcomes for women and their families. Cultivating evidence-based practitioners is a cornerstone within healthcare education programs Lehane et al. 2019 this only serves to emphasize the importance of integrating PPI into the broader objectives of maternal health research.","health, research, women, maternal, into, midwifery"
6,1-s2.0-S0266613824003620-main,research_paper,,,3,"Public involvement strengthens the knowledge mobilization and translation aspect of maternal health research by adding weight to the quality of funding applications by allowing greater depth and subtle differences in perspectives to be incorporated into research findings, benefits are gained by those who the research is meant to impact the most. These insights ground the research in real -world experience increasing the relevance and impact for clinical practice and policy formulation. By incorporating this approach into all maternal health research, health care services can become more responsive through the influencing affect PPI has on the design and delivery of health services and subsequent tailored interventions. Challenges and innovations in maternal health PPI Maternal Health PPI presents unique challenges due to the transient nature of pregnancy. Unlike chronic disease research, which allows for longer term engagement, pregnancy is time sensitive and necessitates different approaches. showed how combining PPI ac- tivities with those that pregnant women prioritised, for example exercise and prenatal education Goodwin et al. This demonstrated mutual benefits and maximized engagement. Models like this show how research can successfully engage and motivate pregnant populations who are eager to share their experiences and improve services. Problem or Issue What is already knownWhat this paper addsImplications for practice Limited reporting on Patient Public Involvement PPI within the field of maternal health research and midwifery. PPI is essential in healthcare research. Guidelines and frameworks exist. Challenges for PPI involvement exist in part because of the transient nature of pregnancy. A detailed account of implementing PPI in maternal health research. Practical strategies for recruitment and retention of PPI participants. Application of the GRIPP-2 framework in a maternal health context. Midwifery researchers should prioritize PPI participation throughout the research cycle. Flexible approaches to PPI can enhance engagement and participation. PPI can improve the relevance and impact of maternal health research. Lack of transparency in Quality of PPI reporting varies Transparent reporting of using Improved reporting can continued on next column continued Problem or Issue What is already known What this paper adds Implications for practice reporting of PPI research in maternal health and midwifery research. There is limited evidence in the literature on the extent that PPI is used. the GRIPP2 framework in maternal health research help to provide insight into informing and managing distinct groups within PPI. enhance replicability and understanding of PPI in maternal health research. Dual PPI approach can provide more comprehensive perspectives. Need for diverse representation in maternal health research. Women s health research has historically lacked diversity. Barriers to equity, diversity and inclusion EDI exist. Strategies for recruiting diverse populations into PPI in a maternal health context. Insights into engaging both healthcare professionals and public contributors. Intentional creation of PPI participation can improve representation within maternal health research. Diverse PPI groups can help address health inequities. PPI framework We are using the GRIPP 2 short-form framework checklist to guide this discussion about PPI in maternal health and to demonstrate the way we used PPI in the Parentage Study.","health, research, maternal, into, reporting, framework"
7,1-s2.0-S0266613824003620-main,research_paper,,,4,"The GRIPP 2 short form is the more appropriate tool of the GRIPP tools and was developed to guide and formalize the process of PPI reporting in health research Figure 1. GRIPP SF framework for reporting on PPI Figure 1 Section and topic Item Aim Report the aim of PPI in the study Methods Provide a clear description of the methods used for PPI Study results Outcomes Report the results of PPI, both positive and negative ones Discussion and conclusionsOutcomes Comment on extent to which PPI influenced overall study. Describe positive and negative effects Reflections critical perspectiveComment critically on PPI study, reflecting on what went well and what did not, so others can learn from this experience Adopted from Staniszewska et al. 2017 EQUATOR Network - Reporting Guidelines. Available from http s: www. org reporting-guidelines PPI involvement in the parentage study Our aim is to involve and embed potential service users and members of the public in research on advanced maternal age and risk perception communication. We want the voices of women, birthing people, and healthcare providers to be heard and for them to influence this research through participation in the research cycle including developing in- terventions and planning of services and care. Method Integrating PPI into The ParentAge study began with understanding best practices and current trends using key documents and training from leading organisations such as the NIHR National Institute of Health Research 2024a and the Health Research Authority HRA Health Research Authority 2024. Support and guidance that aligned the proj- ect with community standards and national PPI standards was provided by Bournemouth University s BU PIER department. Building a collaborator network is essential to all PPI projects. Midwifery 142 2025 104279 lends credibility and validity to the work that is being done. Support to this project was given by participants recruited via Bournemouth Uni- versity PPI team BU PIER , Dorset maternity voices partnership MVP and wider county-based resources as well as through University Hospi - tals Dorset Foundation Trust UHD and the University of Southampton Primary Care Research Centre. Once the process for PPI was well un- derstood by the research team an outreach strategy was developed. Development of outreach materials Several different materials were developed as part of the outreach strategy. These included digital posters, social media materials, email communications, and PowerPoint presentations. Initially, outreach was conducted via email to potential community agencies and partners to inform them about our project followed by sharing digital materials for online outreach. Recruitment into PPI groups Recruitment for the public contributor group was initiated through the local Maternity Voices Partnership MVP Facebook page. The response was positive, resulting in a group of nine participants with diverse experiences including miscarriage, stillbirth, fertility challenges, induction of labour, complications of pregnancy, and home and hospital birth. The age range was 40 to 46 with varying parities and education levels. A second PPI group was established with health care stakeholders, including midwives and consultant obstetricians.","research, study, health, outreach, reporting, materials"
8,1-s2.0-S0266613824003620-main,research_paper,,,5,"This group was more challenging to recruit, a personalized approach in the workplace proved to be the most effective method of recruitment. Two obstetric consul - tants and one senior midwife have joined the group. Establishing foundations Public contributors Prospective participants were invited to discuss roles and expecta - tions about participation in the project. A variety of materials were available for them, from posters to a PowerPoint presentation and through direct conversations. We recognized from the outset that unlike other PPI groups in health, ours has an element of greater transiency as pregnancy is relatively short and the birth of a child adds elements of complexity into the lives of the participants. This means that sometimes their ability for ongoing contribution is more limited. We like to take the standpoint that PPI is happening with real people in their real lives. Our participants are welcome with their toddlers and new babies in arms. We are happy to work to accommodate them based on their needs because we value their contributions. Creating a safe space for our PPI groups to share experiences and opinions and receive compassion and respect was prioritized. Fertility, pregnancy and birth are life altering journeys and with them come joy and loss, trauma, and empowerment. They encompass and embrace el- ements of the full spectrum of human emotion and experience. They are simultaneously about giving up and asserting control over physical, emotional, and spiritual experiences. People often feel very deeply about what they have experienced, and we want that passion and experience to be felt and heard through the research we are conducting. Communi - cation that fosters engagement and respect is at the forefront of our approach to PPI. Facilitating discussion Initial meetings were aimed at explaining PPI s purpose and explaining the research project. The ParentAge study is particularly interested in the experiences of our participants related to risk communication, perception of risk and engagement with health care services for AMA women. Our initial discussions involved listening to the PPI experiences and perspectives helped to validate the research question and position it within the field. At this stage, the PhD research study design and data generation methods were prioritized, and ques- tions were directed towards getting feedback in those areas. Engagement and meetings The initial meeting of the public contributors had been planned as a live workshop format. A brief PowerPoint presentation was developed to orient the participants to PPI guided research and to the PhD project itself. During this time the participants were given information about PPI as per Oxford Medical Sciences 2024 ; Newman and Maddocks 2022 best practice standards for PPI discussion. Most discussions lasted an hour or more. Participants were asked to share their experiences and to identify areas where maternal health research should be focused. To keep participants up to date between meetings, quarterly news - letter email communications are sent to all those who participate at various stages throughout the process.","participants, were, their, research, experiences, about"
9,1-s2.0-S0266613824003620-main,research_paper,,,6,"After the initial meeting, those interested in continuing to contribute were invited to provide feedback regarding study design, participant recruitment, design of information sheets, consent mechanisms and to review survey tools. Later, at the intervention design stage, they will be invited to provide input into the creation of an intervention and at the dissemination stage, they will be invited to participate in sharing the findings. Professional group engagement The PPI engagement of the professional group was similarly engaged to the public contributors. One-to-one conversations lasting 30 60 min were had, giving an orientation to PPI and an explanation of the research study. Conversations were focused on their experiences caring for AMA women, opinions on the direction of the research and feedback on study design. Data protection and recognizing contributions in PPI Data protection is an essential feature of health research, including PPI. Researchers must follow the General Data Protection Regulation European Union 2000 ensuring participants understand their data rights and protections. Our PPI groups have been informed about how their opinions and experiences are being used within the context of our research. Recognising participants valuable time and energy is an important component of PPI. National Institute of Health Research 2024b. Our PPI participants receive a gift card for each workshop or meeting that they participate in, acknowledging their commitment. Insights to inform the research Validation of research focus Our PPI groups confirmed that investigating advanced maternal age and risk perception are highly relevant research areas. Our discussions highlighted the necessity of a multifaceted approach to address the is- sues and provide comprehensive solutions and tools useful for both clinicians and women. Communication improvement Both PPI groups commented throughout that there is a need for improved communication. Public contributors commented that the language used to describe AMA is stigmatizing. They cited needing informative discussions, involvement in decision-making and rein- forcement of autonomy in health care choices as priorities, perceived lack of information provided and perceived inadequacy of information J. Midwifery 142 2025 104279 and support as problems that repeated themselves throughout their care. They commented that the communication with their care providers was abrupt and that caregivers didn t want to engage in conversations. Both groups emphasized the importance of enhancing communica - tion methods between staff and women to facilitate timely clarification and access to information. Health professionals agreed that optimizing pregnancy outcomes is a priority and voiced strong opinions that communication about risk and AMA should begin before conception. Support for study design and methods Our PPI groups spoke about the definition of AMA not being applied consistently both within the Trust where they were either working or receiving care. Public contributors reported differences within the care they received between different Trusts and from caregiver to caregiver. PPI participants told us that not uncommonly, there was disagreement about which pathway they were on and that plans were unclear within the trust with different care providers giving different advice about which care plan they should be on.","they, research, care, were, their, design"
10,1-s2.0-S0266613824003620-main,research_paper,,,7,"The discrepancy in definitions and practice led the research team to develop and implement a national survey defining AMA in clinical practice. The Royal College of Midwives is supporting recruitment to this survey, and it has been distributed across the UK Rack et al. Thanks to our PPI groups, we are now gathering data on how AMA is being defined in clinical practice, whether Trusts are developing their own clinical guidelines, and what guidance they are using to inform their practice. PPI contributors were involved in discussion about the proposed research method using Corpus Assisted Discourse Studies CADS to analyse communication patterns in clinical interactions. This involves audio recording appointments. Feedback on this data generation method was positive among both health care provider and public contributor groups. Health care providers consulted larger groups of peers confirming the methods acceptability. Public contributors supported using CADs to analyse communication and its impact on perception. They highlighted communication issues such as abruptness, lack of empathy, validating the use of audio recording to analyse real-life dynamics. Emphasising the importance of clear, empathetic communication and accessible information for informed choices. Many reported disengagement from health care pro- viders, emphasizing the need for more supportive interactions. Women felt that the focus was on risk rather than optimization of positive out- comes, leading them to diminished hope and distrust. The selection of surveys that will provide a quantitative assessment of autonomy and respect were made based on PPI feedback that emphasized the importance of these aspects, where women frequently reported feeling disrespected and lacking autonomy. Fear based lan- guage and power imbalances were identified as impacting decision making and autonomy negatively. Our public contributors consistently mentioned the need to feel valued, respected and having adequate time and information to support decision making. Our health care professional public contributors agreed that a greater understanding of recommendations and best practice care pathways is needed as part of their updating and continued education to increase the provision of evidence-based care and consistent messaging of AMA best practice. Conclusion This paper has examined the essential role that PPI plays in maternal health research, highlighting benefits and unique challenges that it brings. Engaging strategies such as combining PPI work with activities that new parents and pregnant people prioritize addresses the transient nature of pregnancy and the demands parents face. The ParentAge study with its focus on personalized risk communication for AMA women, embraces this approach. Our PPI groups have provided essential guid- ance and validation for the research to date. Feedback from the groups has highlighted the need for less stigmatizing language when describing AMA pregnancies and more empathetic and respectful communication strategies. Women s experiences of feeling inadequately informed and supported, coupled with reports of abrupt and disengaged interactions from caregivers, confirmed that how risk and care pathways are communicated is a key area of research. Both PPI groups support our study design and methods, validating the necessity, relevance and responsiveness of our chosen approach.","care, practice, groups, communication, research, health"
